Position,"Track Name",Artist,URL
1,Vibe,"Cookiee Kawaii",https://open.spotify.com/track/7btQ8AOjr6zXoGHEmxL5u5
2,"death bed (feat. beabadoobee)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
3,"Moral of the Story",Ashe,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
4,Skechers,DripReport,https://open.spotify.com/track/4z2JaAVPemYJhFKm7e32RA
5,Bando,ANNA,https://open.spotify.com/track/0kzGjSRHGVcaWxagzQwAyD
6,"ily (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
7,"Walked In",Ultradiox,https://open.spotify.com/track/1tRlGMHsf21FDo6pja27YN
8,"WHATS POPPIN","Jack Harlow",https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
9,"She Gon Go","Trill Ryan",https://open.spotify.com/track/7FknBUKLWwjWszRK1N0jqe
10,"My Truck",Breland,https://open.spotify.com/track/1mpD5ioZ9479I6CuKxn3K9
11,Flower,"YOON MI RAE",https://open.spotify.com/track/0GVKkD74xcixRYYG3zv1NL
12,"My Heart Went Oops",Tiagz,https://open.spotify.com/track/3Nhfs2Cx7z2JWHetYkzSfO
13,"Sunday Best",Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
14,"Pura Pura Lupa",Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT
15,"Intentions (feat. Quavo)","Justin Bieber",https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
16,"Say So","Doja Cat",https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
17,"Blueberry Faygo","Lil Mosey",https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
18,Psycho!,MASE,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
19,"CITY OF ANGELS",24kGoldn,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
20,Trust,"Brent Faiyaz",https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR
21,"Here I Am Again","Yerin Baek",https://open.spotify.com/track/5CDq3Ekm0E0c23S0mbEELV
22,"The Box","Roddy Ricch",https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
23,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
24,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
25,"Quédate conmigo",Pole.,https://open.spotify.com/track/3T1egHTtRtYoal4SPUJAAe
26,Apollo,Smoove'L,https://open.spotify.com/track/0VPmIETYsw3JBnyh4iDjVv
27,"Fai rumore",Diodato,https://open.spotify.com/track/2ZwcnFDvQueNemTt89qCom
28,Supalonely,BENEE,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
29,Diosa,"Myke Towers",https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
30,"Fuego (with Geolier & Lele Blade) - Prod. Poison Beatz, Tom Trigger",Neves17,https://open.spotify.com/track/6XPYGFacwZAtmoSVi9m4eT
31,"S'en aller",Swing,https://open.spotify.com/track/3ATo60fpicfxwZ0daRatlU
32,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
33,Viceversa,"Francesco Gabbani",https://open.spotify.com/track/04ldF8QeASSyJLMtZJJfqA
34,"People, I've been sad","Christine and the Queens",https://open.spotify.com/track/0KywIrJ4Xir4tS6q61aY1W
35,Secukupnya,Hindia,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
36,Virgem,"MC Lya",https://open.spotify.com/track/0DwzQguiWvB8jJonQ5ewJu
37,BLACKOUT,"Lil Kapow",https://open.spotify.com/track/29hrQIClzqNqMPO4bVWcjI
38,"Know Your Worth",Khalid,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
39,"I LOVE...","Official HIGE DANdism",https://open.spotify.com/track/6Yrkz3dWqy933CQWQc4Yah
40,"DUN DUN",EVERGLOW,https://open.spotify.com/track/3CyCjgTHFzqucmECajq8QA
41,"Bi Sonraki Hayatımda Gel",Murda,https://open.spotify.com/track/7BjmOMyfT4PBKbZuSCwWPc
42,"Diva (feat. Lil Tecca)","The Kid LAROI",https://open.spotify.com/track/7gVwgc8b3XnO87TpmXXFA5
43,"Make You Mine",PUBLIC,https://open.spotify.com/track/5iFwAOB2TFkPJk8sMlxP8g
44,"Any song",Zico,https://open.spotify.com/track/1iIhGHzzrzqQfuNkFI2qAn
45,"Destined For Greatness","Tobi & Manny",https://open.spotify.com/track/2NlDF79eSeqe5FwmoVNdnG
46,Bussin,"Tay Money",https://open.spotify.com/track/2OBot5OpoT4deri6VkYCyW
47,"Rindu Dalam Hati","Arsy Widianto",https://open.spotify.com/track/1DhJgI2oAsDeDVSD5TNPCF
48,"About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”",MARINA,https://open.spotify.com/track/4XII12nbsvJblXfG1I2QR4
49,"Per sentirmi vivo",Fasma,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
50,Drugs,UPSAHL,https://open.spotify.com/track/06ioYJ99HHjzRk8HrGfkKS
